ID,User_id,Sold,Gender,Category,subcategory,size,State,Brand,Colors,Price,Image,Description,Title,Platform,Address,discountedPriceAmount,dateUpdated
312898651,6955273,P,male,footwear,trainers,,Brand new,nike,"White,Cream",120.0,,"KITO dunk low passion of Christ dunk low. Size 8. 
Perfect condition never worn!
Great for skateboarding basically same shape as Nike dunk low but with cooler design. 
🛹IF YOU WANT BOX SHIPPING WITH BE EXTRA BUT IF JUST SHOES, FREE SHIPPING🛹
#dunklow #kito #dunks #skateshoes #dunk",vxmatt1000 kito wares passion of christ,Depop,"Toledo, United States",,2023-05-15T02:38:20.773907Z
352583395,6955273,P,female,bottoms,jeans,,Used - Good,levi-s,Blue,70.0,,"Vintage Levi's jeans high waisted 1980s orange tab

Rare tag San Francisco and orange tabl
Two holes at bottom of cuffs
Waist 26""
Inseam 33
Length 43.5
#highwaisted #levi #vintagelevis #skinny #orangetab",vxmatt1000 vintage levis jeans high waisted,Depop,"Perrysburg, United States",,2023-05-14T18:49:52.699061Z
352585413,6955273,M,male,outerwear,hoodies,,Used - Good,lee,Red,25.0,,"Ohio state university hoodie boxy 

Lee tag
Size XL fits more like large

Pit to pit 24
Sleeves 21
Shoulder to bottom 26

#OSU #tOSU #ohiostate #buckeyes #boxy",vxmatt1000 ohio state university hoodie boxy,Depop,"Perrysburg, United States",,2023-05-02T02:20:12.218621Z
352582689,6955273,P,female,bottoms,trousers,,Used - Good,levi-s,Blue,50.0,,"Vintage Levi’s blue corduroy high waisted jeans 1980s

Rare light blue tag San Francisco 

Waist 27”
Inseam 32
Length 44

#highwaisted #levi #vintagelevis #babyblue #corduroy",vxmatt1000 vintage levis blue corduroy high,Depop,"Perrysburg, United States",,2023-05-02T02:00:22.164534Z
352580814,6955273,P,male,outerwear,hoodies,,Used - Good,fox-racing,Black,20.0,,"Fox racing Large Black hoodie embroidered 

Size large 
Decent condition, thrifted 

Shoulders to bottom 26
Sleeves 22
Pit to pit 23

#foxracing #foxriders #hoodie #boxy #essentials",vxmatt1000 fox racing large black hoodie,Depop,"Perrysburg, United States",,2023-05-02T01:48:23.164387Z
351326803,6955273,M,male,outerwear,jackets,,Used - Good,carhartt,Green,200.0,,"Vintage Carhartt Chore Coat green Blanket lined

Distressed beautifully, faded green color. Tears rips and holes throughout and especially on sleeves. Stains on shoulders and sleeves. 

Tag missing but size XL. Great oversized fit for Mens large.

Sleeves: 24”
Pit to pit 26”
Top of shoulders to bottom: 29”

#chorecoat #utility #workwear #distressed #cig",vxmatt1000 vintage carhartt chore coat green e14a,Depop,"Perrysburg, United States",,2023-04-24T23:54:42.916145Z
342763589,6955273,P,female,outerwear,jackets,,Used - Good,,Blue,325.0,,"Carhartt Detroit jacket turquoise teal blue sherpa lined

Distressed slightly throughout, beautiful fading and color. Smallish rips near bottom button seams, not noticeable.  

Size women’s LARGE 
~Men’s medium
Sleeves 23.5”
Shoulder to bottom 23”
Pit to pit 23.5”

#kylie #torquoise #detroit #spring",vxmatt1000 carhartt detroit jacket turquoise blue,Depop,"Perrysburg, United States",,2023-04-24T13:55:19.641733Z
343939280,6955273,M,male,outerwear,jackets,,Used - Good,carhartt,Blue,375.0,,"Vintage Carhartt Detroit Jacket Blue size Large blanket lined

J64 PTL - same style as j97. Very good condition, some slight distressed as seen in pics but overall very clean. 

Size men’s L
Sleeves 24.5
Pit to pit 24
Top to bottom 25.5

#detroit #workwear #j97 #travis #kanye",vxmatt1000 vintage carhartt detroit jacket blue,Depop,"Perrysburg, United States",,2023-04-04T22:35:50.160365Z
329964532,6955273,P,male,outerwear,jackets,,Used - Good,carhartt,"Pink,Red",290.0,,"Carhartt Detroit Jacket Sherpa Vintage Salmon Rose Color (WJ097 VRS)

Dark pink / red color 

Rare Detroit jacket in slightly distressed condition, some slightly dirty sleeves and small dirt spots not really noticeable

Size women’s small
Sleeves: 22”
Pit to pit: 21”
Shoulders to bottom: 22”

#carhartt #detroit #sherpa #kylie #travis",vxmatt1000 carhartt detroit jacket sherpa vintage c777,Depop,"Perrysburg, United States",,2023-04-04T22:34:14.469813Z
338065635,6955273,M,male,outerwear,jackets,,Used - Good,carhartt,"Green,Blue",400.0,,"Vintage Carhartt Jacket turquoise blue / green color

Rare color way in awesome condition. Some distressing around buttons and logo. 

Size large

#vintage #turquoise #olive #travis #essentials",vxmatt1000 vintage carhartt jacket turquoise blue,Depop,"Perrysburg, United States",,2023-04-04T22:34:06.559943Z
344957921,6955273,P,male,outerwear,jackets,,Used - Good,dickies,Green,70.0,,"Dickies green jacket 

Comfy, great fit to it, similar to a carhartt hoodie

Size kids large (14/16). I would say it fits like a men’s small/women’s medium. See measurements 

Sleeves 22
Pit to pit 21.5
Shoulders to bottom 24”

#workwear #dickies #kanye #rocky #travis",vxmatt1000 dickies green jacket comfy great,Depop,"Perrysburg, United States",,2023-04-04T22:33:24.611679Z
